"corpus","scope","control","iteration","stored_win_share","mean_diff"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","40","0.920467","1.449527"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","41","0.918242","1.447926"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","42","0.925473","1.487033"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","43","0.916574","1.452829"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","44","0.923248","1.469508"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","45","0.920467","1.420084"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","46","0.919355","1.450177"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","47","0.920467","1.484539"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","48","0.914905","1.445908"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","49","0.927697","1.442567"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","50","0.916018","1.467901"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","51","0.919355","1.471376"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","52","0.929366","1.480753"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","53","0.926585","1.455668"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","54","0.91713","1.457151"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","55","0.927141","1.478829"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","56","0.92436","1.453733"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","57","0.916018","1.469682"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","58","0.920467","1.471081"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","59","0.923248","1.463486"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","60","0.916574","1.445366"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","61","0.914349","1.466228"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","62","0.92436","1.463342"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","63","0.918799","1.468196"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","64","0.913793","1.48618"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","65","0.926585","1.461721"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","66","0.919355","1.452937"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","67","0.916574","1.445584"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","68","0.915462","1.482316"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","69","0.913237","1.441424"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","70","0.917686","1.456654"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","71","0.923248","1.46444"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","72","0.917686","1.458843"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","73","0.92158","1.4831"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","74","0.923248","1.449557"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","75","0.914905","1.469765"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","76","0.922136","1.457058"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","77","0.923804","1.46259"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","78","0.923248","1.457486"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","79","0.916018","1.431917"
"Indus_Lipi","exact_sequence_collapsed","position_slot_shuffle","80","0.920467","1.476371"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","1","0.9099","1.364859"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","2","0.913793","1.369858"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","3","0.918799","1.385151"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","4","0.9099","1.375635"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","5","0.904338","1.379799"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","6","0.905451","1.367108"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","7","0.907675","1.373989"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","8","0.904338","1.387386"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","9","0.909344","1.357585"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","10","0.909344","1.41058"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","11","0.911012","1.374259"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","12","0.908788","1.359033"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","13","0.907675","1.370775"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","14","0.902113","1.347981"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","15","0.900445","1.370544"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","16","0.901557","1.365378"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","17","0.903782","1.361751"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","18","0.912681","1.365554"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","19","0.909344","1.374734"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","20","0.906007","1.368642"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","21","0.901557","1.359638"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","22","0.916018","1.38129"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","23","0.901001","1.380518"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","24","0.912125","1.354926"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","25","0.903226","1.351283"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","26","0.901557","1.373295"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","27","0.9099","1.352834"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","28","0.908231","1.367027"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","29","0.900445","1.357692"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","30","0.903782","1.350036"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","31","0.913793","1.376204"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","32","0.911568","1.385881"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","33","0.912125","1.367151"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","34","0.908231","1.368716"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","35","0.901001","1.361158"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","36","0.911012","1.359786"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","37","0.90267","1.349537"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","38","0.908231","1.362671"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","39","0.908231","1.375415"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","40","0.908788","1.35418"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","41","0.912681","1.38026"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","42","0.904894","1.362091"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","43","0.901001","1.376484"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","44","0.911012","1.375092"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","45","0.90267","1.331506"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","46","0.909344","1.37846"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","47","0.910456","1.367538"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","48","0.904894","1.353891"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","49","0.911012","1.373317"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","50","0.907119","1.357419"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","51","0.899889","1.333903"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","52","0.907675","1.368438"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","53","0.906007","1.343724"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","54","0.901557","1.364341"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","55","0.915462","1.39114"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","56","0.906007","1.358574"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","57","0.909344","1.346572"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","58","0.900445","1.344319"
"Indus_Lipi","exact_sequence_collapsed","edge_frame_shuffle","59","0.905451","1.373049"
