object,site,region,type,material,shape,symbol,condition,complete,prev,next,next_is_terminal_partner,text
M-1440,Mohenjo-daro,Lower Indus,TAG:O,Faience,rectangular,NA,Poor,N,220,<END>,false,]000-220-002+
M-1532,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Othr,Poor,Y,004,365,false,+407-004-002-365-460-495+
M-1631,Mohenjo-daro,Lower Indus,BNGL,Stoneware,NA,NA,Poor,Y,<START>,790,false,+002-790-290-741+
M-1658,Mohenjo-daro,Lower Indus,MISC,NA,NA,NA,Poor,N,016,861,true,+000-016-002-861+
Ns-5,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,016,820,true,+090-740-220-016-002-820+
Ns-9,Nausharo,Lower Indus,SEAL:S,Steatite,square,Comp,Poor,Y,067,374,false,+740-142-067/002-374-310-350-495-834+
Sktd-1,Surkotada,Gujarat/Kutch,SEAL:S,NA,square,Bull1,Poor,Y,004,390,false,+390-004-002-390-125-820+
-:3882.1,Susa,Iranian Plateau,SEAL:CY,NA,cylindrical,Gaur,Poor,Y,150,055,false,+416-150-002-055-031-319-001-924+
-:3884.1,Tell Umma,Mesopotamia,TAG:L,Clay,NA,Bull1,Fair,Y,004,705,false,+390-004-002-705-127+
TY-106,Tepe Yahya,Iranian Plateau,POT:T:s,Clay,NA,NA,Poor,N,<START>,095,false,+002-095-000[
?-3,Unknown,Other,SEAL:S,NA,square,NA,Poor,Y,<START>,368,false,+002-368-590-900+
?-5,Unknown,Other,TAB:B,NA,rectangular,NA,Poor,Y,233,820,true,+555-233-002-820+
?-6,Unknown,Other,TAB:B,NA,rectangular,NA,Poor,Y,061,817,true,+740-702-061-002-817+
-:3896.1,Unknown,Other,SEAL:S,NA,square,Bull1:W,Good,Y,235,820,true,+740-222-235-002-820+
-:3898.1,Ur,Mesopotamia,SEAL:C,NA,circular,Gaur,Fair,Y,<START>,004,false,+002-004-328-001-803-415+
M-1670,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:II,Good,Y,233,861,true,+740-760-001-233-002-861+
M-1698,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:W,Good,Y,705,861,true,+740-482-033-705-002-861-803+
H-1037,Harappa,Inter-Riverine,SEAL:S,Steatite,square,Bull1:U,Fair,N,032,000,false,+740-904-032-002-000+
H-1048,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Poor,Y,235,817,true,+740-032-840-235-002-817+
H-1049,Harappa,Inter-Riverine,SEAL:S,NA,square,Bull1:W,Fair,Y,004,933,false,+405-004-002-933+
H-1076,Harappa,Inter-Riverine,SEAL:R,NA,rectangular,NA,Good,Y,706,820,true,+740-611-706-002-820+
H-1079,Harappa,Inter-Riverine,SEAL:R,NA,rectangular-notched,NA,Fair,N,590,000,false,+740-390-590-002-000[
M-1788,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:I,Fair,N,032,817,true,+000-220-032-002-817+
M-1823,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1:S,Good,Y,004,031,false,+390-004-002-031-376+
M-1825,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Bull1,Fair,Y,031,390,false,+157-031-002-390-705+
M-1894,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Zebu,Fair,Y,233,413,false,+740-440-233-002-413-368-031+
M-1909,Mohenjo-daro,Lower Indus,SEAL:S,NA,square,Rhin,Fair,Y,005,590,false,+368-005-002-590-455+
M-1959,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,N,000,820,true,+740-100-000-002-820+
M-1973,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,550,861,true,+740-575-017-233-550-002-861+
M-2012,Mohenjo-daro,Lower Indus,TAB:B,NA,circular,Bull1,Fair,Y,005,570,false,+740-900-005-002-570+
M-1995,Mohenjo-daro,Lower Indus,SEAL,metal,NA,NA,Poor,N,832,000,false,]000-220-832-002-000-000[
M-2055,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Good,Y,<START>,407,false,+002-407-125-590-831+
M-2087,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,904,861,true,+820-000-032-740-904-002-861+
M-2112,Mohenjo-daro,Lower Indus,ROD,Ivory,NA,NA,Poor,N,003,000,false,+000-000-095-550-003-002-000+
M-2128,Mohenjo-daro,Lower Indus,IMPL,Gold,NA,NA,Poor,Y,705,905,false,+041-705-002-905+
-:4148.1,Rakhigarhi,Eastern Headwaters,SEAL:S,NA,NA,Bull1,Fair,N,255,267,false,+740-690-435-255-002-267-000-033+
-:4154.1,Rakhigarhi,Eastern Headwaters,SEAL:S,Steatite,NA,Bull1,Fair,?,803,861,true,]240-803-002-861+
-:4155.1,Gonur Depe,Central Asia,SEAL:S,Steatite,square,Elep,Good,Y,235,285,false,+740-390-590-125-220-235-002-285+
-:4314.1,Dholavira,Gujarat/Kutch,TAG,NA,NA,Bull1,Poor,N,000,820,true,+520-000-002-820+
-:4164.1,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,rectangular,NA,Fair,Y,423,031,false,+423-003-001-423-002-031-104+
-:4168.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Fair,N,527,000,false,+840-527-002-000+
-:4173.1,Salut,Persian Gulf,SEAL:S,NA,square,Gaur,Fair,Y,004,278,false,+392-004-002-278-595+
-:4182.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,NA,Bull1,Fair,Y,231,705,false,+740-390-590-231-002-705-530-904+
-:4195.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:V,Good,Y,590,861,true,+820-390-590-002-861+
-:4196.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Bull1:J,Poor,Y,391,365,false,+391-002-365-550+
-:4197.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Good,N,904,817,true,+001-000-000-832-904-002-817+
-:4200.1,Dholavira,Gujarat/Kutch,TAB:I,NA,rectangular,NA,Fair,?,031,226,false,+575-031-002-226-231[
-:4203.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,square,Bull1:I,Fair,Y,017,463,false,+463-513/390-017-002-463-575+
-:4209.1,Dholavira,Gujarat/Kutch,SEAL:S,Steatite,square,Gaur,Fair,Y,384,629,false,+740-384-002-629-279+
-:4211.1,Dholavira,Gujarat/Kutch,SEAL,NA,NA,NA,Poor,Y,235,817,true,+740-100-235-002-817+
-:4237.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,square,Bull1:I,Fair,Y,388,390,false,+151-032-388-002-390-705+
-:4244.1,Dholavira,Gujarat/Kutch,MISC,Steatite,NA,NA,Poor,Y,235,457,false,+033-705-233-235-002-457+
-:4252.1,Dholavira,Gujarat/Kutch,SEAL:S,NA,square,Bull1:V,Fair,N,175,000,false,+740-760-175-002-000[
-:4270.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Poor,?,806,808,false,]806-002-808+
-:4272.1,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,016,861,true,+405-016-002-861+
-:4277.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Poor,Y,900,003,false,+740-067-900-002-003+
-:4298.1,Dholavira,Gujarat/Kutch,TAG,NA,NA,NA,Poor,N,000,000,false,]220-000-002-000[
-:4302.1,Dholavira,Gujarat/Kutch,TAB:B,Terracotta,cuboid-convex,Scene,Good,Y,519,900,false,+740-519-002-900-630+
-:4303.1,Dholavira,Gujarat/Kutch,TAG,NA,square,Bull1,Poor,?,706,850,false,]706-002-850+
-:4314.2,Dholavira,Gujarat/Kutch,TAG,NA,NA,Bull1,Poor,N,000,000,false,+520-000-002-000+
-:4344.1,Dholavira,Gujarat/Kutch,TAG,Clay,NA,NA,Fair,N,240,031,false,]240-002-031-000[
-:4345.1,Dholavira,Gujarat/Kutch,TAG,Clay,square,Bull1,Fair,N,705,861,true,+000-705-002-861+
-:4346.1,Dholavira,Gujarat/Kutch,TAG,Clay,NA,Bull1,Poor,N,840,000,false,]000-032-840-002-000+
-:4348.1,Dholavira,Gujarat/Kutch,TAG,Clay,NA,NA,Poor,N,000,861,true,]740-142-000-002-861-390[
Ns-56,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Poor,Y,111,001,false,+111-002-001-250+
-:5226.1,Unknown,Other,SEAL:C,NA,circular,Bird,poor,N,<START>,000,false,+002/000-090-725-000+
-:5235.1,Lakhanjo-daro,Lower Indus,SEAL:S,Steatite,square,Bull1:S,Fair,Y,029,281,false,+740-032-029-002-281+
K-145,Kalibangan,Inter-Riverine,SEAL:S,NA,square,Bull1:J,Good,Y,032,820,true,+740-585-231-220-032-002-820+
K-146,Kalibangan,Inter-Riverine,SEAL:S,NA,NA,Bull1:J,Fair,N,350,296,false,]460-350-002-296-000[
K-155,Kalibangan,Inter-Riverine,TAG,Terracotta,NA,Bull1,Poor,N,<START>,817,true,]002-817-000+
K-160,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,Y,999,<END>,false,+032-999-002+
K-387,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,231,<END>,false,]000-231-002[
K-400,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,?,849,<END>,false,+849-002[
K-419,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,N,912,000,false,]740-912-002-000[
K-429,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Fair,?,<START>,031,false,]002-031-820[
K-431,Kalibangan,Inter-Riverine,POT:T:g,Clay,NA,NA,Poor,N,406,820,true,]000-000-406-002-820+
Ns-54,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Fair,Y,222,817,true,+740-222-002-817+
Ns-55,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:J,Good,Y,554,880,false,+526-554-002-880+
Ns-57,Nausharo,Lower Indus,SEAL:S,Steatite,square,Bull1:I,Fair,Y,606,820,true,+861-111-606-002-820+
Ns-60,Nausharo,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fine,Y,798,297,false,+407-063-740-176-236-798-002-297-350-125-413+
Ns-66,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Fair,N,000,892,false,+033-999-400-090-740-100-000-002-892-000-002+
Ns-67,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Poor,N,000,000,false,+000-151-390-000-002-000-000[
Ns-79,Nausharo,Lower Indus,POT:T:g,Clay,NA,NA,Poor,?,480,<END>,false,]032-480-002[
-:5420.1,Kanmer,Gujarat/Kutch,TAG,Clay,circular,NA,Fair,N,049,820,true,]000-049-002-820+
-:5464.1,Unknown,Other,SEAL:S,NA,square,Elep,Fair,N,140,817,true,+000-840-140-002-817+
-:5468.1,Rakhigarhi,Eastern Headwaters,SEAL:CY,NA,cylindrical,Gavi,Poor,N,361,000,false,+361-002-000-317-688+
-:5541.1,Shikarpur,Gujarat/Kutch,POT:T:p,Clay,NA,NA,Fair,N,<START>,861,true,+002-861-000[
-:5550.1,Shikarpur,Gujarat/Kutch,POT:T:p,Ceramic,NA,NA,Poor,?,<START>,920,false,]002-920+
-:5572.1,Unknown,Other,SEAL:S,NA,sqaure,Bull:i:J,Poor,Y,136,298,false,+136-002-298-741+
-:5575.1,Unknown,Other,SEAL:S,NA,square,Bull:i:J,Fair,Y,136,861,true,+136-002-861+
-:5576.1,Unknown,Other,SEAL:S,NA,square,Tigr,Good,Y,104,824,false,+368-415-104-002-824+
-:5579.1,Dholavira,Gujarat/Kutch,SEAL:R,Steatite,cuboid-convex,NA,Good,?,226,031,false,]231-226-002-031-575+
