"label_filter","shuffle_block","iteration","model","evaluated_rows","label_count","accuracy","macro_f1","macro_recall"
"all_eligible","length","12","type","1750","12","0.211429","0.06298","0.092954"
"all_eligible","length","12","site","1750","12","0.206286","0.033577","0.081208"
"all_eligible","length","12","type_site","1750","12","0.205714","0.062512","0.088679"
"all_eligible","length","12","length_type_site","1750","12","0.324","0.18199","0.193863"
"all_eligible","length","12","edge_frame","1750","12","0.241714","0.115442","0.124614"
"all_eligible","length","12","token_nb","1750","12","0.242857","0.113179","0.132447"
"all_eligible","length","13","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","13","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","13","type","1750","12","0.218286","0.069454","0.098073"
"all_eligible","length","13","site","1750","12","0.204","0.035175","0.0807"
"all_eligible","length","13","type_site","1750","12","0.217714","0.073032","0.096496"
"all_eligible","length","13","length_type_site","1750","12","0.349714","0.209455","0.219672"
"all_eligible","length","13","edge_frame","1750","12","0.237143","0.110646","0.124591"
"all_eligible","length","13","token_nb","1750","12","0.248","0.118668","0.137279"
"all_eligible","length","14","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","14","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","14","type","1750","12","0.215429","0.05276","0.087787"
"all_eligible","length","14","site","1750","12","0.203429","0.030686","0.079872"
"all_eligible","length","14","type_site","1750","12","0.169143","0.039044","0.068478"
"all_eligible","length","14","length_type_site","1750","12","0.354857","0.191325","0.212234"
"all_eligible","length","14","edge_frame","1750","12","0.234286","0.10999","0.123066"
"all_eligible","length","14","token_nb","1750","12","0.252571","0.121424","0.138396"
"all_eligible","length","15","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","15","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","15","type","1750","12","0.214286","0.057467","0.088632"
"all_eligible","length","15","site","1750","12","0.205143","0.033253","0.08076"
"all_eligible","length","15","type_site","1750","12","0.214857","0.071976","0.094718"
"all_eligible","length","15","length_type_site","1750","12","0.342857","0.186398","0.199761"
"all_eligible","length","15","edge_frame","1750","12","0.252571","0.119172","0.130341"
"all_eligible","length","15","token_nb","1750","12","0.236571","0.111711","0.130476"
"all_eligible","length","16","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","16","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","16","type","1750","12","0.160571","0.044672","0.072773"
"all_eligible","length","16","site","1750","12","0.210286","0.029192","0.082437"
"all_eligible","length","16","type_site","1750","12","0.197714","0.069761","0.088731"
"all_eligible","length","16","length_type_site","1750","12","0.332571","0.18129","0.198574"
"all_eligible","length","16","edge_frame","1750","12","0.232571","0.104146","0.117078"
"all_eligible","length","16","token_nb","1750","12","0.237143","0.115145","0.131199"
"all_eligible","length","17","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","17","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","17","type","1750","12","0.197714","0.041962","0.078786"
"all_eligible","length","17","site","1750","12","0.218857","0.039827","0.086934"
"all_eligible","length","17","type_site","1750","12","0.207429","0.059344","0.088836"
"all_eligible","length","17","length_type_site","1750","12","0.359429","0.222258","0.226736"
"all_eligible","length","17","edge_frame","1750","12","0.226857","0.081809","0.104757"
"all_eligible","length","17","token_nb","1750","12","0.24","0.114735","0.132413"
"all_eligible","length","18","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","18","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","18","type","1750","12","0.194286","0.05664","0.086836"
"all_eligible","length","18","site","1750","12","0.212571","0.038956","0.084572"
"all_eligible","length","18","type_site","1750","12","0.229143","0.077144","0.102589"
"all_eligible","length","18","length_type_site","1750","12","0.348571","0.206852","0.215733"
"all_eligible","length","18","edge_frame","1750","12","0.254286","0.124826","0.13326"
"all_eligible","length","18","token_nb","1750","12","0.247429","0.11497","0.135009"
"all_eligible","length","19","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","length","19","length","1750","12","0.399429","0.195489","0.23156"
"all_eligible","length","19","type","1750","12","0.213714","0.063793","0.094453"
"all_eligible","length","19","site","1750","12","0.210286","0.043925","0.085297"
"all_eligible","length","19","type_site","1750","12","0.213714","0.069172","0.093841"
"all_eligible","length","19","length_type_site","1750","12","0.356","0.196067","0.21047"
"all_eligible","length","19","edge_frame","1750","12","0.222857","0.094714","0.109499"
"all_eligible","length","19","token_nb","1750","12","0.242286","0.112451","0.131887"
"all_eligible","type","0","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","type","0","length","1750","12","0.180571","0.066327","0.082862"
"all_eligible","type","0","type","1750","12","0.220571","0.081902","0.115271"
"all_eligible","type","0","site","1750","12","0.204571","0.029063","0.080197"
"all_eligible","type","0","type_site","1750","12","0.217714","0.106174","0.130097"
"all_eligible","type","0","length_type_site","1750","12","0.193714","0.104825","0.111174"
"all_eligible","type","0","edge_frame","1750","12","0.209714","0.071667","0.093441"
"all_eligible","type","0","token_nb","1750","12","0.184","0.074874","0.086874"
"all_eligible","type","1","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","type","1","length","1750","12","0.204571","0.033271","0.081748"
"all_eligible","type","1","type","1750","12","0.220571","0.081902","0.115271"
"all_eligible","type","1","site","1750","12","0.121143","0.032603","0.050468"
"all_eligible","type","1","type_site","1750","12","0.217143","0.100129","0.120457"
"all_eligible","type","1","length_type_site","1750","12","0.182286","0.100348","0.10509"
"all_eligible","type","1","edge_frame","1750","12","0.199429","0.058149","0.084807"
"all_eligible","type","1","token_nb","1750","12","0.178286","0.069683","0.082325"
"all_eligible","type","2","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","type","2","length","1750","12","0.184","0.045661","0.074568"
"all_eligible","type","2","type","1750","12","0.220571","0.081902","0.115271"
"all_eligible","type","2","site","1750","12","0.128571","0.025508","0.051629"
"all_eligible","type","2","type_site","1750","12","0.233143","0.087563","0.106271"
"all_eligible","type","2","length_type_site","1750","12","0.183429","0.086686","0.094332"
"all_eligible","type","2","edge_frame","1750","12","0.2","0.054593","0.084501"
"all_eligible","type","2","token_nb","1750","12","0.168571","0.061747","0.075772"
"all_eligible","type","3","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","type","3","length","1750","12","0.194857","0.037371","0.079066"
"all_eligible","type","3","type","1750","12","0.220571","0.081902","0.115271"
"all_eligible","type","3","site","1750","12","0.209714","0.037712","0.083994"
"all_eligible","type","3","type_site","1750","12","0.204","0.095745","0.110981"
"all_eligible","type","3","length_type_site","1750","12","0.181143","0.086331","0.097054"
"all_eligible","type","3","edge_frame","1750","12","0.203429","0.068116","0.091479"
"all_eligible","type","3","token_nb","1750","12","0.193714","0.076441","0.090113"
"all_eligible","type","4","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","type","4","length","1750","12","0.166286","0.038686","0.067593"
"all_eligible","type","4","type","1750","12","0.220571","0.081902","0.115271"
"all_eligible","type","4","site","1750","12","0.204","0.036878","0.081836"
"all_eligible","type","4","type_site","1750","12","0.110286","0.054652","0.060299"
"all_eligible","type","4","length_type_site","1750","12","0.201143","0.094909","0.102905"
"all_eligible","type","4","edge_frame","1750","12","0.197143","0.052115","0.082313"
"all_eligible","type","4","token_nb","1750","12","0.164","0.065782","0.076588"
"all_eligible","type","5","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","type","5","length","1750","12","0.168","0.043844","0.069268"
"all_eligible","type","5","type","1750","12","0.220571","0.081902","0.115271"
"all_eligible","type","5","site","1750","12","0.206857","0.036795","0.083007"
"all_eligible","type","5","type_site","1750","12","0.222857","0.069631","0.098138"
"all_eligible","type","5","length_type_site","1750","12","0.209143","0.11585","0.120176"
"all_eligible","type","5","edge_frame","1750","12","0.193143","0.057446","0.082092"
"all_eligible","type","5","token_nb","1750","12","0.184","0.068713","0.08378"
"all_eligible","type","6","majority","1750","12","0.212571","0.029218","0.083333"
"all_eligible","type","6","length","1750","12","0.22","0.056019","0.090889"
