"scope","target_cisi","triad_rank","independence_rank","grade","copy_pressure","packet_lane","packet_priority","long_tokens_034","long_tokens_033","long_tokens_032","long_family_034","long_family_033","long_family_032"
"all_triads","H-313","32","67","D_object_plus_some_context","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","176;400;740","176;400;740","176;400;740","176;400;740","176;400;740"
"all_triads","H-312","33","89","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","176;400;740","004;740;900","176;400;740","176;400;740","004;740;900"
"all_triads","H-317","34","81","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","176;400;740","001;031;032;740;904","176;400;740","176;400;740","001;031;032;740;904"
"all_triads","H-1273","35","84","D_object_plus_some_context","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","400;491;740;817","004;740;900","176;400;740","400;491;740;817","004;740;900"
"all_triads","H-314","36","71","D_object_plus_some_context","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","176;400;740","176;400;740","176;400;740","176;400;740","176;400;740"
"all_triads","H-936","37","88","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","176;400;740","176;400;740","176;400;740","176;400;740","176;400;740"
"all_triads","H-960","38","60","F_partial_or_weak","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;400;740","176;400;740","176;400;740","176;400;740","176;400;740","176;400;740"
"all_triads","H-1860","39","47","B_visual_object_order_matched","high_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT","NO_LONGER_TEXT"
"all_triads","H-893","40","17","A_strict_local_minimal_contrast","moderate_repetition_pressure","local_contrast_stress","core","337;400;740","013;740;840","004;740;900","337;400;740","013;740;840","004;740;900"
"all_triads","H-1832","41","13","D_object_plus_some_context","moderate_repetition_pressure","not_in_two_lane_packet","not_in_two_lane_packet","176;297;352;400;590;740;892","100;175;630;705;740","400;617;829","176;297;352;400;590;740;892","100;175;630;705;740","400;617;829"
