"policy","first_code","last_code","first_sign","last_sign","count","examples","review_status"
"raw_lipi_numeric","I","S","L740","L621","1","M-180","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L156","L004","1","M-96","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L090","L545","1","M-136","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","M","L740","L798","1","M-121","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","M","L740","L705","1","M-128","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","M","L740","L503","1","M-29","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","M","L740","L235","1","M-89","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","M","L740","L003","1","M-94","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","M","L520","L705","1","M-122","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","M","L520","L415","1","M-37","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","M","L156","L255","1","M-97","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","D","L740","L390","1","M-82","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","W","L390","L920","1","M-48","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","W","L390","L550","1","M-158","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","T","L390","L861","1","M-166","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","S","L820","L244","1","M-6","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","S","L820","L171","1","M-16","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","S","L390","L796","1","M-83","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","S","L390","L560","1","M-17","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","S","L390","L190","1","M-115","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","S","L390","L165","1","M-95","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","M","L390","L803","1","M-177","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","M","L390","L016","1","M-178","anchor_pair_only_not_semantic"
"raw_lipi_numeric","D","M","L390","L003","1","M-179","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L156","L345","1","M-93","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L684","1","M-112","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L156","L545","1","M-132","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L520","L272","1","M-85","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L579","1","M-159","anchor_pair_only_not_semantic"
"raw_lipi_numeric","S","W","L526","L550","1","M-63","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L545","1","M-78","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L455","1","M-140","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L374","1","M-34","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L373","1","M-43","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L371","1","M-12","anchor_pair_only_not_semantic"
"raw_lipi_numeric","I","S","L740","L329","1","M-36","anchor_pair_only_not_semantic"
