bigram,exact_cells,best_next,best_hit,best_share,sites,types
368-263,2,<END>,2,1,1,1
368-634,2,<END>,2,1,1,1
368-920,2,<END>,2,1,1,1
384-233,2,806,2,1,1,1
388-032,2,<END>,2,1,1,1
388-585,2,017,2,1,1,1
390-032,2,<END>,2,1,1,1
390-140,2,<END>,2,1,1,1
400-098,2,<END>,2,1,1,1
400-159,2,877,2,1,1,2
400-234,2,<END>,2,1,1,1
400-352,2,<END>,2,1,1,1
407-321,2,407,2,1,1,1
415-904,2,017,2,1,1,1
417-002,2,056,2,1,1,1
455-240,2,235,2,1,1,1
455-922,2,<END>,2,1,1,2
480-388,2,032,2,1,1,1
482-060,2,692,2,1,1,1
502-031,2,<END>,2,1,1,1
520-919,2,140,2,1,1,2
533-717,2,<END>,2,1,1,1
585-033,2,705,2,1,1,1
585-803,2,240,2,1,1,1
590-575,2,<END>,2,1,1,1
592-741,2,060,2,1,1,1
690-060,2,550,2,1,1,2
690-323,2,<END>,2,1,1,2
690-921,2,<END>,2,1,1,1
692-520,2,220,2,1,1,1
700-036,2,<END>,2,1,1,2
700-125,2,<END>,2,1,1,2
700-745,2,<END>,2,1,1,1
706-806,2,<END>,2,1,1,2
712-840,2,400,2,1,1,1
740-219,2,<END>,2,1,1,1
740-621,2,<END>,2,1,1,1
741-345,2,<END>,2,1,1,1
741-361,2,<END>,2,1,1,1
741-617,2,<END>,2,1,1,1
741-851,2,<END>,2,1,1,2
752-615,2,503,2,1,1,1
760-017,2,503,2,1,1,1
760-235,2,002,2,1,1,1
790-233,2,798,2,1,1,1
798-806,2,<END>,2,1,1,1
803-240,2,<END>,2,1,1,1
820-740,2,904,2,1,1,1
820-741,2,<END>,2,1,1,1
824-032,2,578,2,1,1,1
831-165,2,<END>,2,1,1,2
840-400,2,740,2,1,1,1
840-679,2,<END>,2,1,1,1
861-003,2,<END>,2,1,1,2
861-216,2,<END>,2,1,1,2
861-533,2,717,2,1,1,1
890-417,2,002,2,1,1,1
892-890,2,417,2,1,1,1
904-017,2,032,2,1,1,1
904-736,2,<END>,2,1,1,1
904-741,2,<END>,2,1,1,1
906-388,2,<END>,2,1,1,2
908-545,2,<END>,2,1,1,1
919-140,2,<END>,2,1,1,2
920-323,2,<END>,2,1,1,2
920-491,2,<END>,2,1,1,1
923-220,2,032,2,1,1,1
002-298,3,741,2,0.6666666666666666,3,1
002-920,3,317,2,0.6666666666666666,3,2
158-003,3,<END>,2,0.6666666666666666,3,3
231-220,3,032,2,0.6666666666666666,3,1
350-125,3,413,2,0.6666666666666666,3,3
368-005,3,741,2,0.6666666666666666,3,2
388-717,3,705,2,0.6666666666666666,3,2
390-034,3,<END>,2,0.6666666666666666,3,3
555-233,3,235,2,0.6666666666666666,3,2
592-031,3,<END>,2,0.6666666666666666,3,1
740-060,3,920,2,0.6666666666666666,3,1
740-776,3,495,2,0.6666666666666666,3,3
740-806,3,<END>,2,0.6666666666666666,3,2
740-821,3,<END>,2,0.6666666666666666,3,2
904-033,3,705,2,0.6666666666666666,3,2
017-033,3,705,2,0.6666666666666666,2,1
017-220,3,<END>,2,0.6666666666666666,2,2
032-233,3,803,2,0.6666666666666666,2,3
032-235,3,<END>,2,0.6666666666666666,2,2
125-032,3,<END>,2,0.6666666666666666,2,2
151-033,3,<END>,2,0.6666666666666666,2,2
175-002,3,861,2,0.6666666666666666,2,3
176-798,3,231,2,0.6666666666666666,2,1
220-063,3,315,2,0.6666666666666666,2,1
231-798,3,<END>,2,0.6666666666666666,2,3
235-745,3,060,2,0.6666666666666666,2,1
336-176,3,<END>,2,0.6666666666666666,2,3
400-097,3,<END>,2,0.6666666666666666,2,2
415-806,3,742,2,0.6666666666666666,2,2
504-350,3,240,2,0.6666666666666666,2,2
520-001,3,<END>,2,0.6666666666666666,2,1
520-175,3,<END>,2,0.6666666666666666,2,1
527-388,3,233,2,0.6666666666666666,2,1
617-033,3,<END>,2,0.6666666666666666,2,1
705-031,3,<END>,2,0.6666666666666666,2,2
706-140,3,<END>,2,0.6666666666666666,2,2
740-637,3,240,2,0.6666666666666666,2,2
740-643,3,240,2,0.6666666666666666,2,1
740-879,3,220,2,0.6666666666666666,2,1
740-912,3,<END>,2,0.6666666666666666,2,1
760-070,3,921,2,0.6666666666666666,2,2
794-630,3,220,2,0.6666666666666666,2,2
832-002,3,817,2,0.6666666666666666,2,3
900-004,3,<END>,2,0.6666666666666666,2,3
001-520,3,240,2,0.6666666666666666,1,2
001-920,3,<END>,2,0.6666666666666666,1,1
032-032,3,<END>,2,0.6666666666666666,1,2
060-368,3,817,2,0.6666666666666666,1,1
061-140,3,<END>,2,0.6666666666666666,1,2
151-416,3,<END>,2,0.6666666666666666,1,1
407-585,3,033,2,0.6666666666666666,1,1
503-240,3,<END>,2,0.6666666666666666,1,1
550-240,3,220,2,0.6666666666666666,1,1
621-520,3,220,2,0.6666666666666666,1,1
741-070,3,255,2,0.6666666666666666,1,2
752-482,3,240,2,0.6666666666666666,1,2
760-382,3,<END>,2,0.6666666666666666,1,2
773-240,3,002,2,0.6666666666666666,1,1
850-407,3,061,2,0.6666666666666666,1,1
900-790,3,233,2,0.6666666666666666,1,2
416-002,4,861,2,0.5,4,2
740-531,4,<END>,2,0.5,4,1
002-297,4,350,2,0.5,3,2
002-365,4,460,2,0.5,3,2
005-741,4,060,2,0.5,3,2
140-740,4,101,2,0.5,3,2
