"start_pair","count","third_values","sites","types","examples"
"292-596","1","","Harappa","SEAL:R","521.1"
"294-350","1","595","Harappa","SEAL:S","1484.1"
"294-844","1","","Mohenjo-daro","BNGL","2331.1"
"298-465","1","033","Mohenjo-daro","SEAL:S","2533.1"
"300-490","1","999","Harappa","POT:T:g","605.1"
"301-354","1","000","Harappa","MISC","5478.1"
"302-460","1","000","Rupar","TAG:L","3872.3"
"303-353","1","165","Harappa","SEAL:R","1203.1"
"307-002","1","762","Kalibangan","SEAL:S","1893.1"
"307-350","1","617","Mohenjo-daro","SEAL:S","3168.1"
"310-350","1","","Mohenjo-daro","SEAL:S","2289.1"
"317-272","1","637","Harappa","TAB:B","788.2"
"317-590","1","111","Lothal","TAG:P","2134.1"
"317-817","1","000","Failaka","SEAL:C","147.1"
"317-890","1","001","Harappa","SEAL:S","1067.1"
"320-233","1","240","Harappa","TAB:B","1654.1"
"320-706","1","000","Lothal","TAG","2086.1"
"323-690","1","","Mohenjo-daro","TAB:I","2322.1"
"324-255","1","001","Mohenjo-daro","SEAL:C","2912.1"
"326-000","1","","Dholavira","TAG","4157.1"
"335-220","1","098","Shikarpur","SEAL:S","5451.1"
"336-480","1","000","Harappa","TAG","1598.1"
"343-031","1","","Mohenjo-daro","SEAL:R","5517.1"
"350-001","1","740","Mohenjo-daro","SEAL:S","2549.1"
"353-090","1","350","Mohenjo-daro","SEAL:S","3431.1"
"354-794","1","892","Dholavira","TAG:PC","4336.1"
"360-268","1","252","Mohenjo-daro","BNGL","2352.1"
"361-002","1","000","Rakhigarhi","SEAL:CY","5468.1"
"365-000","1","","Dholavira","TAG","4296.1"
"365-527","1","","Wattoowala","SEAL:S","3953.1"
"365-820","1","000","Dholavira","SEAL:R","4271.1"
"365-900","1","","Harappa","TAB:I","823.2"
"367-390","1","710","Mohenjo-daro","SEAL:S","2834.1"
"368-001","1","550","Mohenjo-daro","SEAL:S","2213.1"
"368-003","1","742","Mohenjo-daro","SEAL:S","2587.1"
"368-033","1","705","Harappa","SEAL:CY","1388.1"
"368-035","1","","Harappa","TAB:B","1701.1"
"368-140","1","706","Mohenjo-daro","SEAL:S","3210.1"
"368-286","1","","Mohenjo-daro","SEAL:S","3129.1"
"368-304","1","125","Mohenjo-daro","SEAL:S","2541.1"
"368-374","1","590","Mohenjo-daro","SEAL:S","3411.1"
"368-415","1","104","Unknown","SEAL:S","5576.1"
"368-501","1","706","Mohenjo-daro","SEAL:S","2221.1"
"368-632","1","706","Harappa","SEAL:R","1562.1"
"368-740","1","870","Harappa","SEAL:S","1151.1"
"368-803","1","031","Mohenjo-daro","SEAL:S","3384.1"
"368-821","1","055","Mohenjo-daro","SEAL:S","2393.1"
"368-840","1","830","Harappa","SEAL:S","1414.1"
"370-455","1","","Harappa","TAB:B","1687.1"
"374-000","1","000","Mohenjo-daro","SEAL:S","3102.1"
"374-308","1","350","Banawali","POT:T:g","44.1"
"375-400","1","390","Chanhu-daro","SEAL:C","114.1"
"382-382","1","382","Lakhanjo-daro","TAB:B","5242.2"
"382-520","1","","Rakhigarhi","POT:T:g","5563.1"
"382-760","1","382","Harappa","TAB:B","448.1"
"384-575","1","892","Mohenjo-daro","SEAL:S","2781.1"
"388-134","1","368","Harappa","TAB:I","1831.1"
"390-001","1","000","Mohenjo-daro","POT:T:g","2157.1"
"390-006","1","000","Dholavira","SEAL:S","4180.1"
"390-015","1","002","Mohenjo-daro","SEAL:S","2509.1"
"390-035","1","","Harappa","TAB:I","232.1"
"390-060","1","740","Harappa","TAB:B","1264.1"
"390-070","1","220","Mohenjo-daro","SEAL:R","3661.1"
"390-090","1","000","Mohenjo-daro","SEAL:S","2384.1"
"390-095","1","909","Chanhu-daro","IMPL","121.1"
"390-111","1","000","Mohenjo-daro","SEAL:S","2844.4"
"390-128","1","702","Chanhu-daro","SEAL:S","111.1"
"390-143","1","033","Kalibangan","SEAL:R","1921.1"
"390-403","1","","Mohenjo-daro","SEAL:S","3530.1"
"390-503","1","740","Mohenjo-daro","SEAL:S","2628.1"
"390-550","1","452","Dholavira","SEAL:S","4198.1"
"390-600","1","617","Mohenjo-daro","SEAL:S","2226.1"
"390-700","1","790","Lothal","MISC","2053.1"
"390-704","1","001","Mohenjo-daro","SEAL:S","3101.1"
"390-717","1","061","Bala-kot","SEAL:S","20.1"
"390-721","1","790","Mohenjo-daro","SEAL:S","3148.1"
"390-790","1","","Nausharo","SEAL","5353.1"
"390-820","1","463","Mohenjo-daro","SEAL:S","2576.1"
"390-832","1","003","Kalibangan","POT:T:p","1964.1"
"390-869","1","002","Mohenjo-daro","SEAL:S","3315.1"
"390-871","1","","Harappa","SEAL:S","1488.1"
"391-741","1","442","Kalibangan","SEAL:S","1911.1"
"392-004","1","002","Salut","SEAL:S","4173.1"
"392-861","1","","Shikarpur","POT:T:g","5553.1"
"394-032","1","002","Desalpur","TAG","125.1"
"400-093","1","368","Mohenjo-daro","SEAL:S","2650.1"
"400-130","1","746","Mohenjo-daro","SEAL:R","2250.1"
"400-131","1","","Mohenjo-daro","SEAL:S","3131.1"
"400-139","1","","Harappa","SEAL:S","1532.1"
"400-140","1","","Harappa","TAB:B","1725.2"
"400-142","1","","Harappa","TAB:B","247.1"
"400-150","1","617","Mohenjo-daro","SEAL:S","2775.1"
"400-153","1","118","Harappa","TAB:B","557.2"
"400-220","1","428","Mohenjo-daro","SEAL:S","2742.1"
"400-221","1","031","Harappa","SEAL:S","1535.1"
"400-232","1","235","Harappa","TAB:B","1685.1"
"400-241","1","031","Mohenjo-daro","SEAL:S","2727.1"
"400-255","1","400","Harappa","SEAL:R","319.1"
"400-265","1","","Harappa","SEAL:R","1012.1"
"400-267","1","820","Mohenjo-daro","SEAL:S","2738.1"
"400-271","1","000","Mohenjo-daro","SEAL:R","3585.1"
"400-297","1","352","Harappa","TAB:B","415.2"
"400-345","1","279","Mohenjo-daro","SEAL:S","2810.1"
"400-392","1","631","Dholavira","SEAL:S","4189.1"
"400-435","1","000","Harappa","SEAL:S","3920.1"
"400-456","1","503","Mohenjo-daro","SEAL:R","3578.1"
"400-484","1","","Harappa","POT:T:g","483.1"
"400-565","1","","Harappa","SEAL:S","1154.1"
"400-575","1","000","Harappa","TAB:I","241.2"
"400-592","1","140","Mohenjo-daro","SEAL:C","2977.1"
"400-595","1","420","Mohenjo-daro","SEAL:R","2852.1"
"400-617","1","829","Harappa","TAB:B","386.2"
"400-630","1","000","Kalibangan","TAG","1939.1"
"400-698","1","","Harappa","TAB:B","595.2"
"400-700","1","017","Harappa","TAB:B","735.1"
"400-703","1","617","Mohenjo-daro","SEAL:S","2184.1"
"400-705","1","","Harappa","TAB:I","1768.1"
"400-711","1","000","Harappa","TAB:B","495.2"
"400-741","1","717","Harappa","TAB:I","1350.2"
"400-750","1","090","Mohenjo-daro","SEAL","2396.1"
"400-760","1","740","Harappa","TAB:I","1324.2"
"400-798","1","255","Nindowari-damb","SEAL:S","3859.1"
"400-806","1","805","Mohenjo-daro","SEAL:S","3313.1"
"400-807","1","740","Harappa","TAB:B","1270.1"
"400-820","1","100","Harappa","TAB:B","1703.1"
"400-852","1","","Harappa","POT:T:g","703.1"
"400-854","1","032","Harappa","TAB:I","679.2"
"400-890","1","104","Mohenjo-daro","SEAL:S","2614.1"
"400-921","1","690","Harappa","TAB:B","1240.1"
"401-002","1","368","Mohenjo-daro","SEAL:S","2830.1"
"401-065","1","","Mohenjo-daro","SEAL","3499.1"
"401-390","1","016","Mohenjo-daro","SEAL:S","3559.2"
"401-698","1","","Mohenjo-daro","SEAL:S","2222.1"
"401-823","1","381","Mohenjo-daro","SEAL:R","2869.1"
"401-861","1","440","Mohenjo-daro","SEAL:S","3360.1"
"402-741","1","575","Mohenjo-daro","SEAL:S","3565.1"
"405-002","1","","Harappa","SEAL:R","1578.1"
"405-016","1","002","Dholavira","SEAL:R","4272.1"
"405-018","1","001","Mohenjo-daro","SEAL:S","2697.1"
"405-032","1","900","Harappa","SEAL:R","1182.1"
"405-035","1","002","Harappa","TAB:B","409.2"
"405-070","1","000","Harappa","POT:T:g","4114.1"
"405-371","1","031","Mohenjo-daro","SEAL:S","2271.1"
"405-585","1","033","Harappa","SEAL:R","1177.1"
"405-590","1","","Mohenjo-daro","SEAL:S","3117.1"
"405-690","1","032","Harappa","SEAL:S","1102.1"
"405-844","1","032","Bakkar Buthi","POT:T:g","18.1"
"405-845","1","686","Mohenjo-daro","SEAL:R","2887.1"
"406-000","1","","Mohenjo-daro","SEAL:S","3424.1"
"406-072","1","002","Mohenjo-daro","SEAL","2528.1"
"406-125","1","176","Mohenjo-daro","SEAL:S","3260.1"
"406-371","1","220","Mohenjo-daro","SEAL:R","3651.1"
"407-000","1","000","Harappa","SEAL:R","1554.1"
"407-003","1","","Mohenjo-daro","SEAL:R","2205.1"
"407-017","1","060","Harappa","SEAL:R","1192.1"
"407-033","1","127","Harappa","POT:T:g","948.1"
"407-370","1","","Mohenjo-daro","SEAL:R","3601.1"
"407-590","1","740","Harappa","TAB:B","1227.1"
"407-790","1","032","Harappa","SEAL:R","426.1"
"408-004","1","","Mohenjo-daro","SEAL:S","3172.1"
"408-032","1","520","Mohenjo-daro","TAB:C","3061.2"
"408-070","1","032","Harappa","POT:T:g","4113.1"
"408-817","1","920","Harappa","TAB:B","771.2"
"409-015","1","","Lothal","SEAL:R","2051.1"
"409-032","1","845","Harappa","SEAL:R","1171.1"
"409-061","1","740","Harappa","SEAL:R","1170.1"
"409-190","1","002","Lothal","SEAL:S","2018.1"
"411-005","1","","Kalibangan","POT:T:g","1948.1"
"411-411","1","411","Harappa","POT:T:g","5474.1"
"411-440","1","236","Lothal","SEAL:S","2016.1"
"411-956","1","","Karanpura","POT:T:p","5544.1"
"413-031","1","","Harappa","POT:T:g","722.1"
"413-033","1","740","Mohenjo-daro","SEAL:S","2736.1"
"413-530","1","","Harappa","TAB:I","4138.1"
"413-820","1","220","Mohenjo-daro","SEAL:S","2635.1"
"413-892","1","824","Harappa","TAB:I","887.2"
"413-933","1","031","Kanmer","IMPL","3900.2"
"415-000","1","160","Harappa","POT:T:g","183.1"
"415-031","1","002","Lothal","SEAL:S","1996.1"
"415-033","1","000","Harappa","TAB:I","1794.1"
"415-240","1","","Harappa","TAB:I","639.1"
"415-700","1","033","Harappa","TAB:B","375.2"
"415-798","1","002","Mohenjo-daro","SEAL:R","2909.1"
"415-820","1","","Karanpura","SEAL:S","5453.1"
"416-150","1","002","Susa","SEAL:CY","3882.1"
"420-000","1","","Mohenjo-daro","TAB:C","4026.1"
"420-999","1","000","Harappa","POT:T:g","1869.1"
"424-000","1","","Mohenjo-daro","POT:T:s","5518.1"
"424-003","1","001","Mohenjo-daro","TAB:C","3741.1"
"425-820","1","","Harappa","POT:T:g","4117.1"
"427-003","1","001","Mohenjo-daro","SEAL:S","2280.1"
"429-003","1","741","Chanhu-daro","SEAL:S","104.1"
"430-003","1","","Harappa","SEAL:S","1107.1"
"436-032","1","923","Harappa","TAB:B","792.1"
"436-740","1","176","Mohenjo-daro","SEAL:S","2714.1"
"440-220","1","413","Mohenjo-daro","BNGL","3826.1"
"440-390","1","032","Chanhu-daro","SEAL:S","109.1"
"440-411","1","740","Kalibangan","SEAL:S","1902.1"
"442-000","1","220","Harappa","TAB:B","1686.2"
"450-617","1","033","Mohenjo-daro","SEAL:S","2463.1"
"455-066","1","942","Mohenjo-daro","TAB:B","4020.2"
"455-257","1","000","Mohenjo-daro","SEAL:S","3542.1"
"455-710","1","","Harappa","TAB:I","271.1"
"455-861","1","000","Dholavira","SEAL:S","4151.1"
"455-922","1","","Mohenjo-daro","SEAL:S","4004.1"
"457-740","1","165","Mohenjo-daro","SEAL:S","2595.1"
"460-350","1","002","Kalibangan","SEAL:S","5274.1"
"460-503","1","741","Mohenjo-daro","SEAL:S","2207.1"
"461-840","1","","Mohenjo-daro","SEAL:S","2844.5"
"463-000","1","","Harappa","TAB:B","1003.2"
"472-000","1","","Lothal","POT:T:g","2144.1"
"480-000","1","","Harappa","POT:T:g","4123.1"
"480-003","1","031","Harappa","POT:T:g","4097.1"
"481-740","1","255","Mohenjo-daro","SEAL:S","3349.1"
"482-033","1","","Harappa","POT:T:g","4124.1"
"482-520","1","033","Harappa","SEAL:S","1502.1"
"484-140","1","002","Mohenjo-daro","TAG:O","3712.1"
"494-615","1","179","Mohenjo-daro","SEAL:R","2898.1"
"500-541","1","","Harappa","TAB:B","3961.1"
"503-233","1","240","Harappa","SEAL:S","261.1"
"506-002","1","817","Mohenjo-daro","SEAL:S","2188.1"
"511-630","1","336","Harappa","TAB:B","1205.1"
"515-388","1","","Harappa","BNGL","692.1"
"515-740","1","220","Kalibangan","SEAL:S","1884.1"
"515-849","1","","Amri","POT:T:g","5413.1"
"516-775","1","","Harappa","TAB:B","864.2"
"517-032","1","000","Naru-Waro-dharo","POT:T:g","3849.1"
"520-013","1","","Miri Qalat","SEAL:S","5444.1"
"520-073","1","","Rakhigarhi","SEAL:S","4153.1"
"520-075","1","235","Mohenjo-daro","SEAL:S","3847.1"
"520-090","1","803","Dholavira","SEAL:S","4250.1"
"520-219","1","002","Harappa","SEAL:S","1141.1"
"520-315","1","002","Lothal","SEAL:S","2012.1"
"520-442","1","425","Mohenjo-daro","SEAL:S","2315.1"
"520-463","1","510","Bhirrana","SEAL:S","5220.1"
"520-552","1","060","Mohenjo-daro","SEAL:S","2653.1"
"520-742","1","861","Dholavira","SEAL:S","4220.1"
"521-368","1","280","Harappa","SEAL:S","1146.1"
"526-388","1","","Chanhu-daro","SEAL:S","80.1"
"527-140","1","","Harappa","SEAL:S","1483.1"
"527-456","1","","Mohenjo-daro","SEAL:S","2743.1"
"527-556","1","","Mohenjo-daro","ROD","2530.1"
"527-740","1","914","Harappa","MISC","170.1"
"534-556","1","","Harappa","BNGL","501.1"
"540-000","1","","Harappa","BNGL","408.1"
"544-000","1","000","Lothal","SEAL:R","2056.1"
"550-000","1","","Harappa","POT:T:s","503.1"
"550-003","1","435","Harappa","TAB:B","373.2"
"550-105","1","104","Kalibangan","BNGL","5349.1"
"550-742","1","","Kalibangan","POT:T:g","1946.1"
"550-920","1","320","Mohenjo-daro","SEAL","3434.1"
"555-000","1","000","Lothal","SEAL:R","5401.1"
"555-233","1","002","Unknown","TAB:B","3894.1"
"556-060","1","550","Harappa","ROD","1166.1"
"561-092","1","625","Dholavira","SEAL:R","4254.1"
"565-031","1","416","Mohenjo-daro","SEAL:S","2332.1"
"565-235","1","803","Mohenjo-daro","SEAL:S","2555.1"
"565-741","1","263","Harappa","TAB:I","1382.1"
"565-806","1","","Harappa","SEAL:R","1586.1"
"575-031","1","002","Dholavira","TAB:I","4200.1"
"575-705","1","056","Lothal","SEAL:R","2064.1"
"585-000","1","032","Harappa","TAB:I","1767.2"
"585-220","1","000","Harappa","SEAL:S","1531.1"
"590-000","1","","Harappa","TAB:B","562.2"
"590-165","1","032","Mohenjo-daro","SEAL:S","3240.1"
"590-220","1","003","Harappa","POT:T:g","174.1"
"590-252","1","","Mohenjo-daro","BNGL","2172.1"
"590-390","1","","Kalibangan","SEAL:S","1907.1"
"590-615","1","140","Chanhu-daro","SEAL:S","99.1"
"590-906","1","","Mohenjo-daro","BNGL","2334.1"
"595-134","1","000","Dholavira","SEAL","4206.1"
"595-140","1","640","Harappa","SEAL:S","1089.1"
"595-343","1","615","Mohenjo-daro","TAB:C","2997.1"
"595-575","1","704","Mohenjo-daro","SEAL:S","2602.1"
"595-632","1","740","Harappa","SEAL:R","1560.1"
"595-641","1","","Harappa","SEAL:R","1005.1"
"600-143","1","","Harappa","SEAL:S","1494.1"
"600-740","1","060","Mohenjo-daro","SEAL:S","2780.1"
"611-000","1","","Dholavira","SEAL","4204.1"
"615-000","1","000","Harappa","SEAL:S","4435.1"
"615-016","1","435","Mohenjo-daro","TAB:B","2971.1"
"615-352","1","","Harappa","TAB:B","3978.1"
"615-715","1","","Farmana","SEAL:S","152.1"
"617-000","1","","Harappa","TAB:I","4057.1"
"617-016","1","","Mohenjo-daro","SEAL:S","3291.1"
"617-117","1","","Hajar","TAB:I","160.1"
"617-122","1","003","Mohenjo-daro","SEAL:S","2687.1"
"617-145","1","","Mohenjo-daro","SEAL:R","2879.1"
"617-798","1","003","Harappa","TAB:B","1758.2"
"617-899","1","700","Lothal","TAG","2106.1"
"621-046","1","","Mohenjo-daro","SEAL:S","3303.1"
"621-226","1","","Mohenjo-daro","SEAL:S","3366.1"
"622-740","1","717","Kalibangan","SEAL:S","1881.1"
"622-798","1","706","Mohenjo-daro","SEAL:S","3170.1"
"625-140","1","","Mohenjo-daro","SEAL:R","4012.1"
"625-368","1","257","Harappa","SEAL:S","551.1"
"630-000","1","","Dholavira","TAG","4356.1"
"636-240","1","","Mohenjo-daro","SEAL:S","3270.1"
"645-000","1","","Harappa","MISC","4145.1"
"645-031","1","","Nausharo","POT:T:g","5370.1"
"645-032","1","","Harappa","POT:T:g","616.1"
"645-202","1","001","Mohenjo-daro","SEAL:S","2321.1"
"645-999","1","645","Harappa","POT:T:g","999.1"
"679-000","1","000","Mohenjo-daro","SEAL:S","3510.1"
"679-060","1","550","Mohenjo-daro","SEAL:S","2196.1"
"679-220","1","240","Harappa","SEAL:S","1094.1"
"679-850","1","140","Mohenjo-daro","SEAL:S","3106.1"
"680-297","1","741","Mohenjo-daro","SEAL:S","3368.1"
"682-413","1","840","Harappa","SEAL:S","688.1"
"685-001","1","740","Lothal","SEAL:S","1992.1"
"688-740","1","100","Mohenjo-daro","SEAL:S","2606.1"
"690-004","1","","Harappa","TAB:I","1350.1"
"690-032","1","025","Harappa","TAB:I","843.1"
"690-319","1","617","Mohenjo-daro","SEAL:S","2260.1"
"690-322","1","","Mohenjo-daro","TAB:I","2382.1"
"690-365","1","817","Harappa","TAB:I","1863.1"
"690-435","1","255","Harappa","TAG:R","2919.3"
"690-518","1","090","Mohenjo-daro","SEAL:S","2596.1"
"692-451","1","","Mohenjo-daro","SEAL:S","3174.1"
"692-687","1","","Harappa","TAB:I","1798.1"
"692-892","1","","Harappa","TAB:I","1382.3"
"692-904","1","000","Mohenjo-daro","POT:T:s","2916.1"
"697-031","1","","Harappa","POT:T:g","5461.1"
"697-590","1","","Harappa","POT:T:s","193.1"
"697-722","1","","Harappa","POT:T:s","195.1"
"700-003","1","","Harappa","TAB:B","670.1"
"700-014","1","","Harappa","TAB:B","658.1"
"700-126","1","","Harappa","TAB:I","1320.2"
"700-220","1","004","Harappa","TAB:I","311.2"
"700-390","1","","Harappa","TAB:I","1777.1"
"700-521","1","702","Mohenjo-daro","SEAL:S","2717.1"
"700-604","1","407","Susa","SEAL:C","3881.1"
"700-840","1","032","Harappa","TAB:I","829.2"
"700-900","1","004","Harappa","POT:T:g","4118.1"
"700-999","1","000","Harappa","POT:T:g","3940.1"
"705-032","1","595","Mohenjo-daro","BNGL","3823.1"
"705-090","1","705","Dholavira","SEAL:R","4276.1"
"705-220","1","000","Harappa","TAB:B","947.2"
"705-233","1","235","Harappa","TAB:B","1661.1"
"705-240","1","235","Mohenjo-daro","SEAL:S","2567.1"
"705-692","1","","Harappa","TAB:B","1761.1"
"705-700","1","000","Mohenjo-daro","TAB:B","3691.2"
"705-904","1","","Harappa","TAB:B","1620.1"
"706-000","1","090","Mohenjo-daro","SEAL:S","3161.1"
"706-002","1","850","Dholavira","TAG","4303.1"
"706-140","1","632","Mohenjo-daro","SEAL:S","2537.1"
"706-167","1","","Harappa","TAB:I","808.1"
"706-220","1","","Rakhigarhi","Unknown","5559.1"
"708-000","1","","Kalibangan","POT:T:g","5324.1"
"710-455","1","220","Harappa","TAB:I","1830.1"
"711-335","1","575","Harappa","TAB:B","432.1"
"712-000","1","","Harappa","TAB:B","3914.1"
"716-605","1","","Harappa","TAB:B","949.1"
"717-000","1","740","Mohenjo-daro","SEAL:S","3162.1"
"717-032","1","521","Mohenjo-daro","SEAL:S","2532.1"
"717-593","1","706","Mohenjo-daro","SEAL:S","3477.1"
"717-705","1","002","Lothal","TAG","2107.1"
"718-815","1","","Mohenjo-daro","TAB:B","2965.2"
"719-001","1","595","Lothal","SEAL:R","2047.1"
"723-066","1","828","Mohenjo-daro","ROD","4039.1"
"733-000","1","","Mohenjo-daro","SEAL:S","3425.1"
"740-005","1","","Mohenjo-daro","POT:T:g","2155.1"
"740-013","1","000","Mohenjo-daro","SEAL:S","3337.1"
"740-019","1","002","Harappa","SEAL","296.1"
"740-029","1","220","Ra's al-Junayz","POT:T:g","3864.1"
"740-035","1","","Mohenjo-daro","POT:T:g","3070.1"
"740-050","1","705","Chandigarh","POT:T:g","54.1"
"740-058","1","","Mohenjo-daro","SEAL:S","3225.1"
"740-060","1","390","Surkotada","SEAL:S","3876.1"
"740-066","1","090","Harappa","POT:T:g","338.1"
"740-081","1","","Dholavira","POT:T:g","5583.1"
"740-083","1","235","Mohenjo-daro","SEAL:S","2439.1"
"740-094","1","220","Mohenjo-daro","SEAL:S","2657.1"
"740-143","1","067","Harappa","TAB:I","425.2"
"740-154","1","017","Unknown","SEAL:R","5586.1"
"740-158","1","806","Harappa","TAB:B","1034.1"
"740-165","1","060","Kalibangan","MISC","1919.1"
"740-175","1","415","Harappa","POT:T:g","718.1"
"740-180","1","","Kalibangan","POT:T:g","1957.1"
"740-191","1","","Mohenjo-daro","SEAL:S","2242.1"
"740-217","1","","Harappa","SEAL:S","1453.1"
"740-240","1","235","Harappa","TAB:I","691.1"
"740-266","1","","Harappa","SEAL:S","1442.1"
"740-267","1","811","Harappa","SEAL:R","1183.1"
"740-328","1","240","Mohenjo-daro","SEAL","4013.1"
"740-338","1","605","Mohenjo-daro","SEAL:R","2868.1"
"740-344","1","032","Mohenjo-daro","SEAL:S","2605.1"
"740-365","1","278","Mohenjo-daro","SEAL:S","2750.1"
"740-373","1","031","Mohenjo-daro","SEAL:S","3394.1"
"740-380","1","235","Harappa","SEAL:S","1101.1"
"740-382","1","002","Harappa","TAB:I","1307.1"
"740-386","1","","Chanhu-daro","SEAL:S","58.1"
"740-424","1","","Mohenjo-daro","POT:T:s","5527.1"
"740-436","1","255","Harappa","TAB:B","1050.1"
"740-442","1","","Mohenjo-daro","TAB:B","4019.1"
"740-495","1","000","Harappa","POT:T:g","708.1"
"740-500","1","000","Mohenjo-daro","SEAL:S","3545.1"
"740-503","1","235","Mohenjo-daro","SEAL:S","2769.1"
"740-515","1","126","Harappa","TAB:B","403.1"
"740-544","1","353","Mohenjo-daro","SEAL:S","3498.1"
"740-550","1","","Lothal","SEAL:S","2025.1"
"740-552","1","031","Lothal","TAG","2083.1"
"740-560","1","233","Mohenjo-daro","SEAL:S","3079.1"
"740-565","1","233","Mohenjo-daro","SEAL:S","2634.1"
"740-590","1","017","Dholavira","SEAL:S","1576.1"
"740-604","1","142","Mohenjo-daro","SEAL:S","2232.1"
"740-611","1","706","Harappa","SEAL:R","3930.1"
"740-617","1","550","Mohenjo-daro","SEAL:S","3373.1"
"740-621","1","","Mohenjo-daro","SEAL:S","2706.1"
"740-626","1","176","Harappa","SEAL:S","1084.1"
"740-637","1","240","Mohenjo-daro","SEAL:S","2388.1"
"740-638","1","","Mohenjo-daro","SEAL:S","3086.1"
"740-639","1","240","Harappa","SEAL:S","1541.2"
"740-645","1","003","Mohenjo-daro","SEAL:S","2495.1"
"740-680","1","090","Mohenjo-daro","SEAL:R","3647.1"
"740-710","1","017","Harappa","POT:T:g","202.1"
"740-714","1","840","Harappa","TAB:I","222.2"
"740-721","1","002","Mohenjo-daro","SEAL:S","2765.1"
"740-729","1","407","Mohenjo-daro","SEAL:R","2850.1"
"740-731","1","","Mohenjo-daro","SEAL:S","3223.1"
"740-742","1","","Miri Qalat","SEAL:S","5442.1"
"740-765","1","240","Mohenjo-daro","SEAL:S","2611.1"
"740-770","1","235","Harappa","SEAL:S","1466.1"
"740-784","1","004","Harappa","SEAL:S","1527.1"
"740-785","1","004","Harappa","TAB:I","309.1"
"740-790","1","032","Harappa","TAB:B","930.2"
"740-812","1","033","Mohenjo-daro","SEAL:S","2837.1"
"740-825","1","002","Mohenjo-daro","SEAL:S","3375.1"
"740-831","1","820","Mohenjo-daro","POT:T:s","2200.1"
"740-832","1","","Mohenjo-daro","SEAL:S","2677.1"
"740-838","1","741","Mohenjo-daro","SEAL:S","2316.1"
"740-843","1","","Harappa","TAB:B","433.1"
"740-890","1","692","Mohenjo-daro","SEAL:S","2811.1"
"740-903","1","850","Mohenjo-daro","SEAL:R","4005.1"
"740-924","1","","Harappa","TAB:I","295.2"
"740-926","1","","Harappa","TAB:I","1347.2"
"741-032","1","031","Mohenjo-daro","POT:T:g","2158.1"
"741-060","1","920","Mohenjo-daro","SEAL:S","3253.1"
"741-315","1","850","Mohenjo-daro","SEAL:S","3524.1"
"741-390","1","125","Harappa","SEAL:S","1455.1"
"741-794","1","","Nausharo","POT:T:g","5383.1"
"741-861","1","","Harappa","SEAL:S","1168.1"
"742-031","1","090","Mohenjo-daro","ROD","4046.1"
"742-060","1","","Harappa","SEAL","1528.1"
"742-217","1","","Harappa","TAB:I","263.2"
"742-406","1","740","Mohenjo-daro","POT:T:g","2161.1"
"742-440","1","556","Harappa","SEAL:R","3927.1"
"742-851","1","","Harappa","TAB:I","241.1"
"742-861","1","","Nausharo","POT:T:g","5378.1"
"745-000","1","","Harappa","POT:T:g","168.1"
"746-140","1","","Harappa","POT:T:s","931.1"
"746-407","1","575","Harappa","SEAL:S","1595.1"
"747-004","1","408","Mohenjo-daro","POT:T:s","2914.1"
"748-530","1","323","Harappa","POT:T:g","1158.1"
"760-031","1","002","Kalibangan","SEAL:S","1908.1"
"776-440","1","003","Dholavira","TAB:I","4166.1"
"790-000","1","","Harappa","BNGL","1162.1"
"790-001","1","480","Lothal","POT:T:g","2152.1"
"790-005","1","956","Mohenjo-daro","POT:T:s","4014.1"
"790-743","1","140","Mohenjo-daro","BNGL","3824.1"
"790-791","1","","Kalibangan","POT:T:g","4442.1"
"791-575","1","413","Mohenjo-daro","SEAL:S","2335.1"
"795-400","1","740","Nausharo","POT:T:g","5364.1"
"798-233","1","231","Harappa","SEAL:S","1549.1"
"798-821","1","031","Dholavira","MISC","144.1"
"804-231","1","002","Mohenjo-daro","SEAL:S","3208.1"
"804-233","1","231","Mohenjo-daro","SEAL:S","2773.1"
"804-235","1","002","Harappa","SEAL:S","1060.1"
"804-740","1","219","Harappa","TAB:B","225.1"
"806-091","1","001","Dholavira","SEAL:C","4247.1"
"806-231","1","002","Lothal","SEAL:R","2036.1"
"806-468","1","520","Harappa","TAG:R","2919.1"
"808-033","1","002","Mohenjo-daro","POT:T:g","2202.1"
"808-347","1","061","Mohenjo-daro","SEAL:S","3469.1"
"812-500","1","060","Mohenjo-daro","SEAL:S","3905.1"
"817-000","1","","Harappa","TAB:I","279.1"
"817-130","1","","Dholavira","SEAL:S","4181.1"
"817-220","1","632","Nindowari-damb","SEAL:S","3858.1"
"817-255","1","636","Mohenjo-daro","SEAL:S","2668.1"
"817-264","1","001","Mohenjo-daro","SEAL:S","3325.1"
"817-495","1","","Harappa","POT:T:g","700.1"
"817-521","1","521","Chanhu-daro","SEAL:S","94.1"
"817-740","1","194","Mohenjo-daro","SEAL:S","2212.1"
"817-900","1","241","Mohenjo-daro","SEAL:S","2431.1"
"820-003","1","645","Mohenjo-daro","SEAL:S","2844.2"
"820-064","1","104","Mohenjo-daro","SEAL:R","2857.1"
"820-066","1","415","Dholavira","SEAL","4235.1"
"820-090","1","740","Mohenjo-daro","SEAL:S","2808.1"
"820-130","1","035","Mohenjo-daro","SEAL:S","2544.1"
"820-297","1","861","Mohenjo-daro","SEAL:S","2378.1"
"820-302","1","596","Harappa","SEAL:S","1071.1"
"820-571","1","","Mohenjo-daro","SEAL:S","3093.1"
