"id","cisi","type","site","side_index","sides","direction","token_count","text","token_string","orientation_class","companion","order","unordered_pair","interpretation_status"
"373.1","H-1924","TAB:B","Harappa","1","2","R/L","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"921.1","H-1929","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"548.1","H-1931","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"504.1","H-1932","TAB:B","Harappa","1","2","R/L","2","+032-700+","032;700","two_token_700_companion","032","700_last","032-700","orientation_audit_only_no_reading"
"917.1","H-1933","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"765.1","H-1936","TAB:B","Harappa","1","2","L/R","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"938.1","H-1937","TAB:B","Harappa","1","2","R/L","2","+034-700+","034;700","two_token_700_companion","034","700_last","034-700","orientation_audit_only_no_reading"
"516.1","H-1938","TAB:B","Harappa","1","2","R/L","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"458.1","H-1940","TAB:B","Harappa","1","2","L/R","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"927.1","H-1941","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"409.1","H-1942","TAB:B","Harappa","1","2","R/L","2","+032-700+","032;700","two_token_700_companion","032","700_last","032-700","orientation_audit_only_no_reading"
"422.1","H-1943","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"923.1","H-1945","TAB:B","Harappa","1","2","R/L","2","+032-700+","032;700","two_token_700_companion","032","700_last","032-700","orientation_audit_only_no_reading"
"658.1","H-1946","TAB:B","Harappa","1","3","R/L","2","+700-014+","700;014","two_token_700_companion","014","700_first","014-700","orientation_audit_only_no_reading"
"658.3","H-1946","TAB:B","Harappa","3","3","R/L","2","+700-125+","700;125","two_token_700_companion","125","700_first","125-700","orientation_audit_only_no_reading"
"755.1","H-1947","TAB:B","Harappa","1","3","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"1227.2","H-196","TAB:B","Harappa","2","3","R/L","2","+167-706+","167;706","non_700_short_mark","","","167-706","orientation_audit_only_no_reading"
"393.1","H-1981","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"690.1","H-1982","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"394.1","H-1987","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"744.1","H-1993","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"869.1","H-1995","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"1237.2","H-206","TAB:B","Harappa","2","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"862.1","H-2070","TAB:I","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"1240.2","H-209","TAB:B","Harappa","2","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"476.1","H-2094","TAB:I","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"518.1","H-2095","TAB:I","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"665.1","H-2096","TAB:I","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"488.1","H-2097","TAB:I","Harappa","1","2","R/L","2","+034-700+","034;700","two_token_700_companion","034","700_last","034-700","orientation_audit_only_no_reading"
