run_id,arm,corpus,model,seed,initialization,parameter_count,optimizer_steps,masked_positions_seen,total_records,train_records,train_tokens,null_attrition_fraction,test_records,test_positions,masked_nll,masked_perplexity,masked_top1,masked_top5,multiclass_brier,stored_order_win_share,authentic_corruption_win_share,elapsed_seconds
ivc__medium__seed20260713,ivc,ivc,medium,20260713,random_initialization,18123074,720,289094,1796,661,3657,0.0,999,751,4.080445880102571,59.17184751824729,0.2583222370173103,0.46604527296937415,0.8795757471483334,0.9236111111111112,0.9444444444444444,145.2247349420004
linear_b__small__seed20260713,linear_b,linear_b,small,20260713,random_initialization,6414434,300,116034,278,194,1197,0.0,42,276,2.6122893181400024,13.63021906900266,0.3804347826086957,0.6557971014492754,0.7501594087351924,0.9523809523809523,1.0,49.22527426400029
sumtablets__small__seed20260713,sumtablets,sumtablets,small,20260713,random_initialization,6483053,1470,574840,1798,1425,6800,0.0,186,952,4.5067463081423975,90.62646768081949,0.15231092436974789,0.3319327731092437,0.9499961147789194,0.9032258064516129,0.8924731182795699,222.92872067499957
ivc_row_internal_shuffle__small__seed20260713,ivc_row_internal_shuffle,ivc_row_internal_shuffle,small,20260713,random_initialization,6537537,720,288476,1790,657,3647,0.0075282308657465494,999,751,4.355571802700566,77.9113625298703,0.20639147802929428,0.3794940079893475,0.9223370101258218,0.3888888888888889,0.4513888888888889,120.0379059909992
ivc_position_slot_shuffle__small__seed20260713,ivc_position_slot_shuffle,ivc_position_slot_shuffle,small,20260713,random_initialization,6537537,615,245024,1786,653,3629,0.012547051442910916,999,751,4.790320588174101,120.33994204209122,0.1278295605858855,0.2756324900133156,0.9629183386994424,0.875,0.8472222222222222,102.80464785100048
ivc__small__seed20260714,ivc,ivc,small,20260714,random_initialization,6537794,825,328857,1796,663,3603,0.0,993,768,4.2136616706848145,67.60362938161217,0.24348958333333334,0.4361979166666667,0.8790982365608215,0.8623188405797102,0.8478260869565217,138.01437504600017
ivc__medium__seed20260714,ivc,ivc,medium,20260714,random_initialization,18123074,735,292938,1796,663,3603,0.0,993,768,4.35545539855957,77.90229385246725,0.23307291666666666,0.4140625,0.8959288795789083,0.8333333333333334,0.8695652173913043,149.2418210699998
linear_b__small__seed20260714,linear_b,linear_b,small,20260714,random_initialization,6414434,300,120273,278,194,1261,0.0,41,234,2.6289959768963675,13.8598473070868,0.41452991452991456,0.6752136752136753,0.7382189106737447,0.975609756097561,0.975609756097561,47.848065158999816
sumtablets__small__seed20260714,sumtablets,sumtablets,small,20260714,random_initialization,6483053,1410,527977,1798,1371,6486,0.0,214,1120,4.456655393327986,86.19872559916938,0.13303571428571428,0.3196428571428571,0.9571977070399693,0.8925233644859814,0.8457943925233645,214.66463307399954
ivc_row_internal_shuffle__small__seed20260714,ivc_row_internal_shuffle,ivc_row_internal_shuffle,small,20260714,random_initialization,6537794,690,273204,1790,657,3589,0.007471980074719801,993,768,4.544297854105632,94.09433605756053,0.18880208333333334,0.3541666666666667,0.9301740129788717,0.4927536231884058,0.5579710144927537,114.88518909499999
